iter	Passed	Remaining
693	112740	82199
694	112906	82039
695	113069	81877
696	113233	81716
697	113396	81554
698	113557	81390
699	113721	81229
700	113884	81067
701	114044	80903
702	114205	80739
703	114366	80576
704	114527	80412
705	114692	80251
706	114857	80091
707	115019	79928
708	115182	79766
709	115345	79604
710	115507	79442
711	115671	79280
712	115835	79119
713	115997	78956
714	116156	78791
715	116318	78628
716	116476	78462
717	116634	78297
718	116798	78136
719	116958	77972
720	117117	77807
721	117278	77644
722	117437	77479
723	117599	77316
724	117761	77154
725	117923	76991
726	118083	76827
727	118242	76662
728	118404	76500
729	118563	76335
730	118724	76172
731	118887	76009
732	119049	75847
733	119211	75684
734	119373	75521
735	119532	75357
736	119692	75193
737	119853	75030
738	120014	74866
739	120179	74706
740	120339	74542
741	120513	74387
742	120703	74241
743	120873	74083
744	121036	73921
745	121197	73758
746	121362	73597
747	121523	73434
748	121683	73269
749	121848	73109
750	122009	72945
751	122173	72784
752	122336	72622
753	122499	72459
754	122662	72297
755	122831	72139
756	122993	71976
757	123156	71813
758	123319	71652
759	123480	71488
760	123647	71328
761	123813	71168
762	123976	71005
763	124149	70849
764	124337	70701
765	124511	70545
766	124675	70384
767	124842	70224
768	125003	70060
769	125163	69896
770	125327	69734
771	125491	69572
772	125651	69409
773	125821	69250
774	125982	69087
775	126142	68923
776	126304	68760
777	126463	68595
778	126623	68431
779	126783	68267
780	126945	68105
781	127107	67942
782	127267	67778
783	127430	67616
784	127589	67451
785	127750	67288
786	127912	67125
787	128073	66962
788	128232	66797
789	128395	66635
790	128556	66472
791	128719	66309
792	128887	66150
793	129056	65991
794	129219	65828
795	129383	65667
796	129546	65504
797	129709	65342
798	129875	65181
799	130032	65016
800	130198	64855
801	130362	64693
802	130545	64541
803	130721	64385
804	130887	64224
805	131048	64060
806	131208	63897
807	131372	63735
808	131532	63571
809	131699	63410
810	131874	63254
811	132044	63094
812	132202	62930
813	132362	62766
814	132527	62604
815	132690	62442
816	132853	62280
817	133016	62117
818	133173	61952
819	133331	61787
820	133491	61623
821	133648	61459
822	133810	61295
823	133974	61133
824	134138	60972
825	134305	60811
826	134468	60649
827	134628	60485
828	134788	60321
829	134951	60158
830	135111	59995
831	135272	59831
832	135436	59669
833	135603	59509
834	135763	59345
835	135925	59182
836	136088	59020
837	136250	58857
838	136415	58696
839	136578	58533
840	136746	58373
841	136913	58212
842	137073	58048
843	137236	57886
844	137399	57724
845	137567	57563
846	137733	57402
847	137897	57240
848	138057	57076
849	138215	56912
850	138380	56750
851	138542	56587
852	138704	56424
853	138869	56263
854	139034	56101
855	139195	55938
856	139362	55777
857	139523	55614
858	139683	55450
859	139847	55288
860	140009	55125
861	140175	54964
862	140336	54801
863	140504	54640
864	140694	54488
865	140858	54326
866	141022	54164
867	141185	54001
868	141345	53838
869	141505	53674
870	141668	53511
871	141825	53347
872	141988	53184
873	142150	53021
874	142310	52858
875	142475	52696
876	142637	52533
877	142800	52370
878	142967	52209
879	143130	52047
880	143290	51883
881	143453	51721
882	143616	51558
883	143780	51396
884	143941	51233
885	144103	51070
886	144275	50911
887	144457	50755
888	144625	50594
889	144788	50431
890	144950	50268
891	145111	50105
892	145275	49943
893	145435	49780
894	145602	49618
895	145768	49457
896	145933	49295
897	146098	49133
898	146258	48969
899	146423	48807
900	146588	48646
901	146749	48482
902	146913	48320
903	147079	48158
904	147241	47995
905	147405	47833
906	147570	47671
907	147736	47509
908	147902	47348
909	148066	47186
910	148226	47022
911	148389	46859
912	148549	46696
913	148709	46532
914	148873	46370
915	149038	46208
916	149197	46044
917	149359	45881
918	149520	45718
919	149680	45555
920	149844	45392
921	150010	45230
922	150195	45074
923	150359	44912
924	150548	44757
925	150720	44597
926	150883	44435
927	151047	44272
928	151208	44109
929	151368	43945
930	151531	43782
931	151691	43619
932	151852	43456
933	152012	43292
934	152173	43129
935	152338	42967
936	152500	42804
937	152660	42640
938	152823	42478
939	152985	42315
940	153150	42152
941	153309	41989
942	153470	41826
943	153631	41662
944	153795	41500
945	153959	41337
946	154125	41176
947	154285	41012
948	154456	40852
949	154614	40687
950	154773	40524
951	154937	40361
952	155101	40199
953	155261	40035
954	155420	39872
955	155581	39709
956	155741	39545
957	155902	39382
958	156065	39219
959	156224	39056
960	156388	38893
961	156552	38731
962	156712	38567
963	156872	38404
964	157037	38242
965	157197	38078
966	157357	37915
967	157518	37752
968	157677	37588
969	157837	37425
970	157998	37262
971	158160	37099
972	158320	36936
973	158481	36772
974	158641	36609
975	158805	36447
976	158965	36283
977	159130	36121
978	159292	35958
979	159455	35796
980	159615	35632
981	159774	35469
982	159935	35306
983	160097	35143
984	160265	34981
985	160425	34818
986	160625	34663
987	160788	34501
988	160948	34337
989	161108	34174
990	161268	34011
991	161428	33847
992	161590	33685
993	161677	33506
994	161837	33343
995	162006	33181
996	162179	33021
997	162351	32860
998	162514	32698
999	162672	32534
1000	162835	32371
1001	162993	32208
1002	163156	32045
1003	163317	31882
1004	163480	31720
1005	163640	31556
1006	163800	31393
1007	163957	31229
1008	164118	31066
1009	164280	30904
1010	164441	30741
1011	164602	30578
1012	164763	30415
1013	164928	30253
1014	165097	30091
1015	165259	29928
1016	165419	29765
1017	165579	29602
1018	165738	29439
1019	165901	29276
1020	166059	29113
1021	166225	28951
1022	166385	28788
1023	166545	28624
1024	166709	28462
1025	166875	28300
1026	167037	28137
1027	167206	27976
1028	167369	27813
1029	167531	27650
1030	167690	27487
1031	167854	27325
1032	168015	27162
1033	168179	26999
1034	168342	26837
1035	168502	26674
1036	168660	26510
1037	168821	26347
1038	168980	26184
1039	169143	26022
1040	169314	25860
1041	169475	25697
1042	169641	25535
1043	169801	25372
1044	169960	25209
1045	170124	25047
1046	170291	24884
1047	170462	24723
1048	170658	24565
1049	170820	24402
1050	170981	24240
1051	171142	24077
1052	171305	23914
1053	171467	23751
1054	171629	23588
1055	171789	23425
1056	171948	23262
1057	172110	23099
1058	172275	22937
1059	172440	22775
1060	172607	22613
1061	172770	22450
1062	172930	22287
1063	173090	22124
1064	173257	21962
1065	173416	21799
1066	173577	21636
1067	173736	21473
1068	173896	21310
1069	174054	21146
1070	174215	20983
1071	174382	20821
1072	174545	20659
1073	174705	20496
1074	174870	20333
1075	175032	20170
1076	175194	20008
1077	175357	19845
1078	175518	19682
